id	Chr	start	end
1958	5	138465491	138469315
1978	8	38030501	38060365
1981	3	184314494	184335358
1983	14	103334001	103345024
1994	19	7958572	8005645
200081	1	32179743	32198285
200734	2	65310850	65432522
2017	11	70398505	70436584
2037	6	130839347	131063322
2042	3	89107523	89482134
2048	1	22710837	22921500
2058	1	219968599	220046658
2063	19	17231884	17245342
2064	17	39688083	39728662
2065	12	56080024	56103507
207	14	104769349	104795743
2109	19	51345154	51366418
211	3	52198082	52214327
2113	11	128458760	128587558
2115	7	13891230	13991425
2131	8	117799364	118111819
2146	7	148807371	148884349
2184	15	80152890	80186582
2185	8	27311481	27459391
2195	4	186587782	186723833
2222	8	11795572	11839309
226	16	30053089	30070420
2263	10	121478329	121598458
2264	5	177086871	177098142
2274	2	105360825	105438773
22794	17	40140253	40172178
22796	1	230642455	230693985
22809	19	49928701	49933936
22823	1	93079234	93139081
22827	8	143816343	143829386
22841	10	118004915	118046884
2288	12	2794941	2805421
22883	1	9729020	9824526
22887	1	42176538	42335877
22889	1	155913042	155934442
22905	17	19237376	19336715
22908	3	45689240	45745425
22926	1	161766243	161964070
22934	2	88691657	88750935
23	6	30571392	30591532
230	17	28573114	28576933
23011	12	71754862	71793476
23013	1	15847863	15940455
23014	12	117143779	117190495
23029	1	235131182	235161616
23038	1	27234515	27308633
23039	8	21919668	22006585
23061	5	179862070	179907856
23076	21	43659550	43696079
23077	13	77044656	77327042
2309	6	108559822	108684768
23097	6	110609977	110815885
23131	17	44395276	44503602
23139	1	45803606	46036124
23142	4	51842999	51916837
23149	19	17747717	17788568
23161	7	17790760	17940508
23200	3	182793502	182921633
23210	17	76712831	76726799
23212	8	66429027	66430733
23223	10	97356700	97401370
23224	14	63852964	64226451
23244	4	39822862	39977956
23271	1	200739557	200860707
23300	16	81035852	81047346
23321	4	153153117	153339322
23325	12	105107713	105169134
23326	17	20999592	21043039
23335	18	56651384	57029805
23338	5	134524374	134583230
23365	11	120336908	120489936
23368	14	103733750	103847590
23378	11	6599913	6603650
23386	7	44382365	44490786
23410	11	215029	236362
23443	1	99969788	100026978
23463	1	6221192	6235984
23499	1	39084166	39487138
23512	17	31937009	32001045
23522	10	74826412	75032622
2353	14	75278777	75282234
23530	5	43602688	43705566
23536	16	75596878	75623323
2356	9	127802857	127814081
23585	1	25338297	25362361
23588	14	49768068	49783138
23597	X	23701055	23743290
23635	5	81412806	81751253
23636	19	49906825	49929731
23647	11	6474682	6481479
23658	7	32485332	32495258
23659	16	68245343	68261058
23670	9	71683365	71768884
24149	6	43336069	43369443
25	9	130713880	130887675
2523	19	48748010	48755390
2534	6	111660331	111873452
2542	11	119024350	119030906
2548	17	80101525	80119882
2553	15	50277191	50355429
256364	11	62602218	62612765
25793	22	32474719	32498831
25803	6	34537801	34556333
25805	10	28677494	28682939
2582	1	23795598	23800804
25825	21	41167800	41282534
25839	16	70480568	70523554
25874	1	167916674	167937069
25932	1	24745268	24844324
25966	21	41885109	41953890
2597	12	6534404	6538375
25976	3	156674415	156706768
25987	11	76782312	76798154
26001	17	4940007	4945223
26020	14	22871716	22881711
26036	6	57090009	57170300
26054	6	75601508	75718285
26064	5	34656327	34832612
26128	10	68988720	69016983
26136	7	116210492	116258783
26227	1	119711795	119744226
2624	3	128479421	128493187
2625	10	8054703	8075201
26292	1	38862489	38873378
26511	4	54009790	54064648
26520	14	58408493	58427614
2673	2	69319768	69387254
2690	5	42423774	42721878
26993	19	15380047	15419121
27032	3	130850524	131016711
27095	1	36136568	36156053
27109	14	50312328	50326228
27242	6	47231526	47309947
27244	6	108986436	109094505
27336	X	136497078	136512344
27346	17	28319094	28328685
2736	2	120797290	120992653
2745	5	95813848	95822873
2767	19	3094409	3124002
2769	19	3136031	3163769
2770	7	80134823	80219409
2771	3	50226687	50259354
2778	20	58839717	58911196
2810	1	26863141	26864456
2817	2	240435697	240468078
2852	7	1086806	1093815
2886	17	39737900	39747285
2887	7	50590062	50793462
2896	17	44345085	44353106
28969	7	16646133	16706523
2908	5	143277930	143435512
29082	14	24209580	24213830
29083	3	112990952	113001374
291	4	185143262	185150384
29103	13	43023225	43109170
2920	4	74097036	74099280
2946	1	109668021	109683997
2954	14	77320886	77331597
2956	2	47783081	47806953
2958	15	59638061	59657541
2961	8	30578317	30658241
29763	11	47177521	47186459
29890	3	51391267	51397905
29911	19	12763002	12775620
29916	17	48107532	48123601
29928	17	996892	1002183
29937	1	212432886	212446379
29978	X	56563592	56567010
30	3	38122709	38137242
30001	14	52639914	52695931
3028	X	53431257	53434376
3033	4	107989713	108035175
3066	6	113936155	113971195
30836	1	93869457	93879206
30849	3	130678933	130746852
3091	14	61695400	61748259
3098	10	69269999	69401881
310	10	73375100	73414085
3108	6	32948613	32953122
3122	6	32439841	32445051
3156	5	75337167	75362101
3157	5	43287469	43313512
3162	22	35381066	35394214
3202	7	27141051	27143668
3206	7	27170590	27180261
323	4	40810026	41214618
3251	X	134460144	134500668
3280	3	194136141	194138612
329	11	102347181	102378670
3300	2	219279317	219286900
3303	6	31815513	31817942
3308	5	133051969	133105017
3312	11	123057491	123062335
3315	7	76302557	76304297
332	17	78214195	78225635
3329	2	197486583	197500274
3337	19	14514763	14529322
3383	19	10270840	10286615
3385	19	10333775	10339834
3398	2	8681982	8684453
3416	10	92451683	92574095
3454	21	33324908	33359822
348	19	44905748	44909395
3480	15	98648538	98964530
3482	6	159969098	160111502
3486	7	45912244	45921272
3508	11	68903850	68940601
351	21	25880549	26171128
355	10	88990558	89017061
3551	8	42271301	42332653
3553	2	112829759	112836779
3566	16	27313908	27364778
3597	X	118727595	118794533
3611	11	6603707	6610874
3628	2	190343469	190371665
3638	7	155297771	155310235
3682	17	3714624	3801243
3693	3	124761948	124887305
3725	1	58780790	58784113
375346	3	52836755	52897581
3775	1	233614003	233672512
3800	2	148875222	149026759
3815	4	54657927	54740715
387	3	49359135	49412097
388650	1	92832728	92961522
3895	14	55580206	55684584
39	6	159761956	159779112
3909	18	23689442	23955065
392	11	46677074	46700665
3925	1	25884185	25906877
3930	1	225401501	225428855
3964	1	236518213	236552979
3978	19	48115444	48170603
3988	10	89213568	89252039
4016	15	73926457	73952141
4043	4	3503596	3532497
4067	8	55879826	56012447
4088	15	67065856	67195195
4125	19	12646507	12666777
4144	2	85538977	85545280
4154	3	152268467	152465780
4172	6	52264013	52284881
4200	18	50879061	50949792
4208	5	88718240	88904105
4216	6	160991726	161117385
4232	7	130486174	130506297
427	8	18056298	18084998
4282	22	23894377	23895222
4303	X	71096148	71103534
4312	11	102789909	102798235
4313	16	55478829	55506691
4331	14	60734740	60968680
4482	8	10054268	10428891
4582	1	155185823	155192915
4605	20	43667018	43716496
4609	8	127736068	127741434
4616	19	2476124	2478259
4638	3	123612295	123884302
4651	5	16661906	16936276
466	12	50764005	50821160
4690	3	136862207	136951610
47	17	41866916	41919022
4775	16	68085365	68229259
4776	14	24366910	24379606
4780	2	177230302	177265131
4783	9	91409044	91424626
4791	10	102394109	102402529
4792	14	35401509	35404754
4793	19	38899699	38908894
4794	6	44258165	44265788
481	1	169106708	169132722
4817	1	161118071	161125445
4836	17	45061298	45109014
4846	7	150991055	151014599
4850	7	135361794	135510127
4851	9	136494432	136545786
4860	14	20469378	20478006
4864	18	23531498	23586617
4891	12	50979782	51028275
4893	1	114704463	114716894
4925	11	17276717	17331865
4927	17	5384832	5419739
4931	1	224227333	224330189
4998	1	52372828	52404471
501	5	126541840	126595390
5018	14	22766521	22771789
5019	5	41730064	41870689
5048	17	2593628	2685615
5050	19	42297032	42302800
5054	7	101127088	101139266
5058	11	77322014	77474063
50810	15	83138051	83208018
50813	12	6723983	6731875
50814	X	152830966	152869363
50865	12	12974864	13000309
5092	10	70882280	70888786
5096	3	136250324	136330171
51001	8	96239397	96261613
51005	16	2520344	2530954
51015	5	129094748	129114026
51021	10	73248842	73252693
51024	7	101239611	101245090
51026	12	21501764	21518403
51031	17	759308	782331
51053	6	24774930	24786097
51056	4	17577303	17607967
5106	14	24094130	24104132
51070	19	49555467	49580572
51071	12	15911171	16037381
5108	8	17922856	18029948
51097	1	246724075	246768138
5110	6	149749694	149811421
5111	20	5114952	5126622
51116	9	135500630	135504673
51160	8	144423600	144428563
51170	4	87336524	87391303
51203	15	41332693	41381050
51282	20	35953616	35955359
51293	19	8302126	8308356
51335	15	90265662	90272211
51375	1	98661679	98760500
51382	14	67337863	67360003
51385	3	48241105	48270989
51422	7	151556114	151877231
51465	6	89326624	89352900
51466	14	99971474	100144236
51495	15	65530488	65578355
5154	7	497259	519844
51569	13	38349770	38363007
51599	19	35248655	35267964
51635	14	60144118	60169864
51719	2	230712841	230821075
51742	1	235166894	235328219
5211	21	44300033	44327381
5223	10	97426124	97433444
5236	1	63593275	63660246
5255	X	72578813	72714181
5257	16	47461298	47701523
5261	16	30748298	30761181
5287	1	204422629	204490346
5289	18	41955197	42081482
5290	3	179148522	179240093
5300	19	9835206	9849689
5321	1	186828899	186988981
533	1	43974647	43978300
5331	11	64251522	64269452
53343	4	87422575	87459454
5347	16	23678771	23690367
5355	X	49171836	49175119
5357	3	142596386	142713663
5359	3	146515179	146544841
5366	18	59899959	59904306
5373	16	8797812	8849337
54205	7	25118650	25125361
5423	8	42338454	42371813
5427	14	49643551	49688380
5438	19	36113708	36115304
54386	16	75647736	75657443
5440	8	100150610	100154002
54438	6	13363354	13487637
54442	16	2682493	2709031
54499	1	165724290	165768922
54505	5	55256054	55307722
54512	8	144078618	144080648
54541	10	72273918	72276036
54623	19	39385629	39391195
5467	6	35342557	35428191
5468	3	12287849	12434356
54681	3	48989907	49007148
54733	11	107790990	107859188
5480	5	123023382	123036730
54807	19	57769651	57780616
54850	19	9810266	9819103
54881	9	100302074	100352977
54915	20	63195429	63216186
54957	16	72084852	72094316
5498	1	161166390	161171220
55008	4	88378738	88443097
55011	19	49446292	49451858
55012	14	35085467	35122543
55033	7	30010582	30026801
55038	14	105009572	105021088
55111	19	2229951	2236353
55127	1	236549004	236604541
55129	3	43366325	43691594
55148	14	93207055	93229215
55179	3	138608699	138633371
5525	1	212285536	212361863
55256	2	3497918	3519579
5529	14	63373891	63543361
55324	3	184186074	184194007
5547	11	82822940	82901740
55556	18	670319	712664
55604	6	25279427	25620530
55608	13	110878539	110915107
55620	19	4324042	4338850
5566	19	14091694	14117747
55699	1	220094112	220148041
55746	1	229441296	229508341
55748	18	74496264	74523454
55793	1	150996824	151008378
5580	3	53161206	53192717
55818	2	86441147	86492716
55825	2	216038387	216081816
5583	14	61321442	61550980
55837	14	34515928	34539737
55847	10	58269101	58289259
5588	10	6394096	6580646
55893	8	28345584	28386460
55958	9	21329670	21335432
5601	5	180233594	180292071
5603	6	36130483	36144524
5607	15	67542682	67807117
5613	X	3604342	3713634
5627	3	93873036	93974090
5641	14	92703806	92748702
5654	10	122461524	122514908
56654	9	137039456	137046224
56889	10	96518109	96587052
56924	15	40239090	40277487
56940	6	292056	351355
5696	6	32840716	32844935
5699	16	67934503	67936877
56997	1	226940236	226987545
57019	16	57428168	57447528
57048	17	7389727	7394843
5708	3	184299097	184309054
5710	1	151254699	151267478
57147	1	169853075	169893959
57149	16	20899867	20925011
5715	12	121888730	121917865
5716	X	108084204	108091644
57178	10	79069034	79316528
57192	19	7522609	7534009
572	11	64269827	64284704
5720	14	24136157	24138967
5721	14	24143364	24146646
57215	16	67842309	67844195
57406	3	58237501	58294736
5743	1	186671811	186680427
5747	8	140658381	141001313
5770	20	50510320	50584762
57761	20	380628	397559
5777	12	6946576	6961316
57804	11	67350764	67353596
5782	7	77537455	77640071
5788	1	198638967	198757476
5792	1	43526036	43623672
5796	6	127968778	128520674
581	19	48954859	48961798
5827	12	132687605	132704991
5829	12	120210438	120265771
5831	17	81932385	81937328
5836	14	50905216	50944530
58472	15	45631147	45691294
58478	4	82430479	82461175
58497	1	151008390	151035713
58533	14	34561092	34630183
5867	1	229271061	229305893
5873	15	55202965	55289815
5880	22	37225260	37244299
5883	11	67391951	67398412
5889	17	58692572	58734342
5891	14	102224496	102305200
5898	7	39623552	39708124
5899	2	120252837	120294710
5900	9	133097719	133149220
5909	1	21596214	21669363
5921	5	87268252	87391926
5925	13	48303746	48481890
5927	12	280056	389455
595	11	69641104	69654474
596	18	63123345	63319380
5971	19	45001448	45038198
5982	7	74231501	74254458
5985	12	118016660	118032237
5986	17	82047901	82051774
5993	1	151340639	151347293
5997	1	192809038	192812277
6009	7	151466011	151519924
60493	20	3146518	3159886
6050	11	494511	507283
60528	17	12991611	13018064
6117	17	1829978	1899554
6118	1	27891525	27914797
6119	7	7636562	7718607
6182	17	81703369	81707526
6184	3	128619969	128650876
6193	19	58387268	58394804
6194	9	19376255	19380237
6195	1	26529757	26575029
622	3	197509782	197573323
6251	10	16590617	16817454
6253	19	45485287	45497055
6275	1	153543618	153545806
6284	1	153618799	153634092
6304	3	18345387	18445588
6342	1	52927228	53051617
6347	17	34255276	34257201
637	22	17734139	17774665
63874	14	22598237	22612359
6390	1	17018725	17054170
63933	6	13786548	13814560
64080	2	27781363	27890396
642	17	30248194	30292166
644	7	43758672	43807342
64422	3	112532506	112561963
64428	16	729754	741038
64429	10	112430289	112446959
6443	4	52020694	52038319
6461	9	37915897	38069213
6464	1	154962297	154974483
64746	1	226144678	226186722
64781	22	46684409	46738255
64943	3	52524368	52535077
6499	6	31958803	31969755
6500	5	134156390	134177033
65057	16	67657511	67660815
6509	2	64988444	65023866
65123	1	153728066	153774808
652	14	53949735	53956891
6597	19	10960921	11062282
6599	3	47585887	47781915
66008	2	201377206	201451596
6603	17	63832080	63842991
6616	20	10218797	10307420
6622	4	89724098	89838296
664	10	131967682	131982013
665	8	26383006	26413129
6657	3	181711923	181714435
6659	6	21593740	21598618
6676	20	35615883	35621094
6696	4	87975649	87983411
6697	2	72887382	72892160
670	6	3118375	3153198
6709	9	128552557	128633665
6714	20	37344684	37405432
672	17	43044294	43125483
6772	2	190969035	191014250
6774	17	42313324	42388495
6777	17	42199176	42276406
6790	20	56369388	56392337
6793	5	172042069	172188342
6804	7	73699204	73719687
6810	16	31033094	31040167
6812	9	127612206	127692716
6813	19	7637100	7647874
6832	10	69180203	69209098
6839	X	48695553	48709015
6850	9	90801679	90898560
6856	7	106090367	106112647
6894	1	234391312	234479103
6908	6	170554332	170572870
6909	17	61399895	61409466
6915	19	3594505	3606833
6919	20	64056971	64072347
6944	1	151176299	151190213
695	X	101349446	101390796
6988	3	49412205	49416476
6990	X	37838835	37847636
701	15	40161008	40221136
7015	5	1253171	1295047
7016	9	35605283	35610041
7020	6	10396682	10419564
7027	13	113584687	113641473
7043	14	75958060	75983011
7048	3	30606501	30694141
7074	21	31118417	31558977
7077	17	78852976	78925390
7082	15	29699366	29968799
7088	9	81583682	81689535
7099	9	117704174	117717491
7105	X	100627107	100637104
7106	11	842823	867116
7153	17	40388520	40417950
7157	17	7668401	7687550
7158	15	43407213	43510509
7159	1	223779892	223845972
7165	20	63865227	63891545
7168	15	63042638	63071914
7264	8	143612617	143617562
727	9	120952335	121075174
7296	12	104215778	104350307
7319	X	119574466	119584429
7358	4	39498754	39527598
7376	19	50376422	50383028
7398	1	62436303	62451804
7416	5	133971874	134005133
7466	4	6269849	6303265
7485	21	39380286	39397889
7494	22	28794559	28800572
7511	10	109864765	109923553
7538	19	39406846	39409412
7690	5	43120842	43176324
7750	13	19958669	20091845
780	6	30882612	30900156
7849	2	113215996	113278921
7852	2	136114348	136118155
7866	3	50287731	50292595
7867	3	50611861	50649297
7874	16	8892093	8963484
79006	16	715172	719655
7905	5	112876383	112922334
79071	4	110049072	110198664
79073	11	60913898	60923443
79080	11	60841955	60851088
79090	19	45162927	45178243
79094	15	40953148	40956519
79143	19	54173411	54189882
79170	17	47951967	47957877
79174	22	49918629	49927540
79187	19	4304593	4323846
79600	12	110614026	110649131
79643	17	80991840	81000133
79716	20	58689130	58715844
7982	7	116953326	117230021
79850	17	732545	742968
79902	17	75205435	75235759
79921	X	103576230	103587736
7994	8	41929478	42052026
79947	1	26432281	26471304
79961	1	111185968	111204538
80204	2	47806919	47905793
80212	12	123936408	123972985
80347	17	42562073	42566281
80349	15	78283235	78299726
8050	11	34916129	34996128
8061	11	65892135	65900526
80746	3	12484431	12539624
80758	5	177446794	177456286
808	19	46601073	46610782
8091	12	65824459	65966291
813	7	128739291	128773423
81533	16	47154387	47461274
81544	11	75434639	75525554
8202	20	47501856	47656877
8204	21	14961234	15064805
823	11	65181214	65212006
8243	X	53374148	53422728
8270	X	154477768	154479257
831	5	96662036	96774681
8312	16	287439	352676
8318	22	19479825	19520612
8321	7	91264467	91268817
8324	2	202034586	202038437
8349	1	149884459	149886682
835	7	143288214	143307696
836	4	184627695	184649475
83743	19	48445772	48453907
8396	17	38765690	38799905
840	10	113679161	113730909
84159	10	61901253	62096948
843	2	201182880	201229406
8440	2	105745062	105894274
8444	1	206635535	206649197
8446	2	73762197	73780157
84617	18	12307668	12329825
847	11	34438924	34472060
84722	1	109279553	109283168
8480	20	57351088	57378463
84890	10	62804755	62808479
8503	1	46040139	46176495
8508	22	29554808	29581337
8518	9	108867516	108934332
8520	2	171922424	171983686
85236	6	27138292	27146858
85377	22	37906147	37942458
8550	12	111842227	111893424
8553	3	4979411	4985180
8569	1	46557406	46604294
8573	X	41514935	41923034
8574	1	19302707	19312146
8607	3	128064784	128153914
8624	21	39175445	39183514
8678	17	42810131	42824316
868	3	105655460	105869422
8720	16	84053760	84116943
8726	11	86244383	86278810
8727	9	108942568	109013594
873	21	36069923	36073177
8731	18	13726659	13764556
874	21	36134964	36146562
8800	15	89681530	89690784
8804	1	167541013	167553819
8821	4	142023159	142846535
8826	15	90388240	90502243
8835	12	93569821	93576745
8837	2	201116103	201172688
8851	17	32487086	32491253
8869	2	85839147	85889034
8870	6	30743198	30744550
8878	5	179806387	179838077
8884	2	27199586	27212307
8895	8	86514426	86561498
890	4	121816443	121824001
8900	13	36431829	36442882
891	5	69167009	69178243
8914	12	56416372	56449465
896	6	41934932	42048894
8974	5	132192610	132227863
8985	7	101205976	101217730
899	16	2429390	2458858
89910	12	109477622	109536705
8996	16	67170496	67175737
9016	X	130339887	130373361
9019	1	167721949	167791919
902	5	87394261	87413033
9053	6	136342280	136550819
90861	16	1678276	1702072
9093	16	4425804	4456774
9097	18	158482	213739
9112	14	105419848	105470720
91137	5	110738135	110765174
9124	10	95237567	95291148
9126	10	110567690	110604634
9128	9	113275633	113292905
9133	15	59105084	59125045
9134	8	94880224	94895254
9143	16	1989944	1994275
9170	19	19623655	19628230
9181	1	155946838	155978545
9183	11	113733182	113773763
91949	16	23388492	23453191
9212	17	8204730	8210626
9217	20	58389118	58451100
9221	10	102152175	102163871
9246	11	57551654	57568330
9261	1	206685019	206734285
9267	17	78674046	78782342
9270	2	9405680	9423569
9275	7	73536352	73557735
9276	3	139357590	139389680
9289	16	57619692	57665039
93487	14	55051643	55070194
93594	8	123072618	123152152
9375	13	99501373	99564048
94239	7	44826888	44848126
9448	2	101697702	101894690
9455	15	82848976	82952724
9467	3	15254355	15341394
9488	15	55318934	55355648
949	12	124777627	124863973
9491	20	1113228	1172246
9517	14	77505996	77616767
9519	6	133952169	133987500
9531	10	119651369	119677817
9533	6	43517023	43529376
9552	17	4959225	4967837
958	20	46118253	46129745
960	11	35138869	35232402
9637	2	36552260	36598189
9641	1	206470242	206496890
965	1	116514533	116571093
9650	8	65644652	65710563
9653	1	86914651	87109998
9670	1	43946805	43968022
9686	3	11556066	11720768
9688	16	56730104	56844949
9690	7	157138960	157269372
9695	3	5187673	5219965
9697	6	52497401	52577064
9702	11	95790460	95832693
9703	17	28614439	28645159
9709	16	56932089	56943881
9710	19	34254550	34355566
9712	10	11460509	11611789
9738	16	19523856	19553406
976	19	14381143	14408725
9761	12	120687123	120701864
9797	3	10248492	10281222
9801	2	75646782	75662208
9805	7	29920102	29990289
9813	1	46675158	46719064
9817	19	10486119	10503378
983	10	60778330	60794852
9833	9	36572861	36677683
9842	17	45435899	45490780
9847	12	22448545	22544546
9851	17	6578324	6640927
9854	11	119107349	119117124
9868	3	100363458	100401398
9897	8	125024260	125091819
9903	1	6590723	6602898
991	1	43358954	43363202
9915	15	80404349	80597936
9917	1	179025803	179076574
9918	12	6494131	6531966
9924	12	56316222	56334053
9926	1	211743456	211830772
9928	1	200551496	200620734
993	3	48157177	48188311
994	20	3786771	3806121
9943	3	38165534	38255488
9961	16	29820393	29848039
998	1	22052626	22092943
9988	7	87152360	87196332
